,wavelength_-1.0V,-1.0V,wavelength_-0.5V,-0.5V,wavelength_0.0V,0.0V,wavelength_0.5V,0.5V,wavelength_1.0V,1.0V,wavelength_1.5V,1.5V,wavelength_2.0V,2.0V,wavelength_2.5V,2.5V,wavelength_3.0V,3.0V
8461,1578.437662,-41.31587977926811,1578.437883,-41.41377347837718,1578.4380771084334,-41.732570453120985,1578.4380550000003,-42.71170456597553,1578.438225,-41.149324087063874,1578.438385,-42.21009172907665,1578.43489,-41.53226465379162,1578.4205850000003,-42.09525924947935,1578.4207549999999,-42.446498982866146
8462,1578.4385770000001,-41.07737694107183,1578.4387970000005,-41.56780372628906,1578.4389963855417,-41.60771422529883,1578.4389699999997,-41.74278380124372,1578.43915,-41.61831962140282,1578.4393099999998,-42.05894790613907,1578.435825,-41.96449695313311,1578.42167,-42.972186159682266,1578.4217999999996,-42.2231321401769
8463,1578.439526999999,-41.40074084380681,1578.4397519999986,-41.451144747453526,1578.4399433734939,-41.734187237302244,1578.4399449999996,-41.35396436942505,1578.4400949999997,-41.599366477514444,1578.440245,-41.870656691941264,1578.4367900000002,-41.46409367695345,1578.4226350000001,-41.83211355822081,1578.422795,-41.88903178425828
8464,1578.440597000001,-41.36876936207757,1578.4408189999997,-41.49984387377165,1578.4410120481932,-41.60461023423032,1578.4410050000001,-40.939642214986186,1578.4411650000002,-41.232582311095925,1578.4413199999997,-41.70378877586608,1578.437835,-42.106100510442175,1578.423565,-42.717211145721606,1578.4237150000004,-42.55422998628987
8465,1578.4417140000003,-41.17320052472484,1578.4419310000005,-41.22695260636849,1578.442126506024,-41.73728299838435,1578.4421150000003,-42.4685342482663,1578.4422850000003,-42.03525894993906,1578.4424350000002,-41.951456542032865,1578.4389049999997,-41.89288462519554,1578.4244350000001,-42.61643592208071,1578.424575,-41.612021504897484
8466,1578.4428960000002,-41.133509972724504,1578.4431080000006,-41.30082373635046,1578.4432987951802,-41.508368904835756,1578.4432900000002,-41.766858141160945,1578.443455,-41.5404091769599,1578.4436249999999,-41.34458413140793,1578.4400199999995,-41.46918223273957,1578.42524,-42.361075524402835,1578.4253949999998,-42.173202334165
8467,1578.444106,-40.98867837872808,1578.444325,-41.26659727629983,1578.4445108433738,-41.627675423519975,1578.4445099999998,-41.755438828626744,1578.444675,-42.31355162347193,1578.44483,-41.368830327239294,1578.44115,-41.89492369971261,1578.42602,-42.47180903763221,1578.4261850000003,-41.77623837917805
8468,1578.4453500000006,-41.46570078972834,1578.4455790000013,-41.47149898916313,1578.4457626506025,-41.636550867733305,1578.4457500000003,-41.8998064892722,1578.4459300000003,-40.941070597689155,1578.4460700000004,-41.976301649384524,1578.442295,-41.96083678004999,1578.426785,-41.848428758686985,1578.4269199999999,-42.515686852569424
8469,1578.4466070000008,-41.20336291260725,1578.446840000001,-41.44190403888345,1578.447018072289,-41.773927289562785,1578.4470100000003,-41.71747374647765,1578.44717,-41.60874671553157,1578.4473249999999,-41.85923737940708,1578.4434499999998,-41.789086074415216,1578.42751,-42.380653447194746,1578.4276600000003,-41.761736945132085
8470,1578.4478629999994,-41.33542251433444,1578.4480900000008,-41.24298366448456,1578.4482698795173,-41.841006728495124,1578.4482600000003,-41.84292217894091,1578.4484249999998,-41.52305097750799,1578.4485849999996,-41.3518913792018,1578.4445899999996,-42.23215963471954,1578.42824,-42.16236107320218,1578.4283999999998,-42.36473569748597
